id,sample,utr5_length,cds_length,utr3_length,total_length,utr5_gc_content,cds_gc_content,utr3_gc_content,ribonn_te
XM_071419765.1,gt,15,372,48,435,0.6666666666666666,0.6612903225806451,0.14583333333333334,0.9885078
XM_071419765.1,sample_0,53,372,90,515,0.7924528301886793,0.6612903225806451,0.6666666666666666,0.70128983
XM_071419765.1,sample_1,124,372,133,629,0.8064516129032258,0.6612903225806451,0.6015037593984962,0.5119118
XM_071419765.1,sample_2,157,372,200,729,0.8471337579617835,0.6612903225806451,0.815,0.35741368
XM_071419765.1,sample_3,183,372,54,609,0.8852459016393442,0.6612903225806451,0.7037037037037037,0.24924357
XM_032170900.2,gt,198,459,157,814,0.7222222222222222,0.46405228758169936,0.3821656050955414,0.99040943
XM_032170900.2,sample_0,20,459,129,608,0.55,0.46405228758169936,0.3798449612403101,1.3580744
XM_032170900.2,sample_1,33,459,200,692,0.5757575757575758,0.46405228758169936,0.38,1.3095639
XM_032170900.2,sample_2,83,459,136,678,0.6144578313253012,0.46405228758169936,0.35294117647058826,1.2534872
XM_032170900.2,sample_3,81,459,200,740,0.5432098765432098,0.46405228758169936,0.395,1.2692624
XM_042933589.1,gt,74,255,108,437,0.5,0.49411764705882355,0.4722222222222222,1.5649009
XM_042933589.1,sample_0,177,255,200,632,0.5084745762711864,0.49411764705882355,0.43,1.3013748
XM_042933589.1,sample_1,116,255,200,571,0.5689655172413793,0.49411764705882355,0.455,1.3848977
XM_042933589.1,sample_2,22,255,200,477,0.5,0.49411764705882355,0.315,1.5993284
XM_042933589.1,sample_3,68,255,200,523,0.5,0.49411764705882355,0.365,1.484945
XM_056452708.1,gt,24,366,131,521,0.20833333333333334,0.5765027322404371,0.26717557251908397,1.6821011
XM_056452708.1,sample_0,172,366,111,649,0.43023255813953487,0.5765027322404371,0.38738738738738737,1.6308482
XM_056452708.1,sample_1,98,366,145,609,0.45918367346938777,0.5765027322404371,0.3793103448275862,1.5991086
XM_056452708.1,sample_2,162,366,131,659,0.43209876543209874,0.5765027322404371,0.3435114503816794,1.5933594
XM_056452708.1,sample_3,103,366,157,626,0.5533980582524272,0.5765027322404371,0.25477707006369427,1.6384443
XM_071453288.1,gt,143,321,148,612,0.7972027972027972,0.660436137071651,0.5472972972972973,0.7915509
XM_071453288.1,sample_0,158,321,83,562,0.5506329113924051,0.660436137071651,0.6144578313253012,1.1341077
XM_071453288.1,sample_1,109,321,154,584,0.4036697247706422,0.660436137071651,0.461038961038961,1.2835472
XM_071453288.1,sample_2,141,321,107,569,0.5957446808510638,0.660436137071651,0.6074766355140186,1.188578
XM_071453288.1,sample_3,116,321,123,560,0.45689655172413796,0.660436137071651,0.3983739837398374,1.2086042
XM_048522006.2,gt,43,273,135,451,0.5813953488372093,0.4908424908424908,0.3851851851851852,1.6898867
XM_048522006.2,sample_0,186,273,200,659,0.7096774193548387,0.4908424908424908,0.405,1.6653118
XM_048522006.2,sample_1,105,273,200,578,0.7523809523809524,0.4908424908424908,0.42,1.4896578
XM_048522006.2,sample_2,150,273,1,424,0.7133333333333334,0.4908424908424908,0.0,1.6147696
XM_048522006.2,sample_3,209,273,200,682,0.7511961722488039,0.4908424908424908,0.515,1.6609766
XM_044245083.1,gt,95,291,159,545,0.5789473684210527,0.42955326460481097,0.25157232704402516,1.5015146
XM_044245083.1,sample_0,178,291,200,669,0.550561797752809,0.42955326460481097,0.255,1.4876875
XM_044245083.1,sample_1,32,291,200,523,0.59375,0.42955326460481097,0.265,1.5252657
XM_044245083.1,sample_2,170,291,200,661,0.6,0.42955326460481097,0.275,1.238764
XM_044245083.1,sample_3,113,291,200,604,0.5663716814159292,0.42955326460481097,0.23,1.5242223
XM_025986549.2,gt,67,462,83,612,0.5522388059701493,0.3874458874458874,0.3373493975903614,1.0585874
XM_025986549.2,sample_0,158,462,200,820,0.6835443037974683,0.3874458874458874,0.38,0.7979558
XM_025986549.2,sample_1,170,462,200,832,0.7,0.3874458874458874,0.335,0.6064225
XM_025986549.2,sample_2,98,462,1,561,0.5918367346938775,0.3874458874458874,0.0,0.8255847
XM_025986549.2,sample_3,174,462,200,836,0.7241379310344828,0.3874458874458874,0.395,0.7407114
XM_040683648.2,gt,61,372,106,539,0.8524590163934426,0.6693548387096774,0.4056603773584906,0.68138546
XM_040683648.2,sample_0,155,372,200,727,0.8774193548387097,0.6693548387096774,0.555,0.31149948
XM_040683648.2,sample_1,196,372,200,768,0.8469387755102041,0.6693548387096774,0.4,0.26398632
XM_040683648.2,sample_2,35,372,200,607,0.8571428571428571,0.6693548387096774,0.45,0.824714
XM_040683648.2,sample_3,98,372,200,670,0.8163265306122449,0.6693548387096774,0.525,0.57250494
XM_048080352.2,gt,155,438,43,636,0.7548387096774194,0.5045662100456622,0.2558139534883721,1.5197488
XM_048080352.2,sample_0,115,438,45,598,0.5652173913043478,0.5045662100456622,0.2,1.6258518
XM_048080352.2,sample_1,37,438,42,517,0.6756756756756757,0.5045662100456622,0.2619047619047619,1.5969648
XM_048080352.2,sample_2,118,438,39,595,0.5932203389830508,0.5045662100456622,0.23076923076923078,1.6236274
XM_048080352.2,sample_3,93,438,32,563,0.6451612903225806,0.5045662100456622,0.28125,1.6029199
XM_053337259.1,gt,65,384,135,584,0.47692307692307695,0.4921875,0.45925925925925926,0.98575985
XM_053337259.1,sample_0,160,384,64,608,0.6125,0.4921875,0.5625,0.31039146
XM_053337259.1,sample_1,162,384,200,746,0.8950617283950617,0.4921875,0.605,0.11383865
XM_053337259.1,sample_2,188,384,171,743,0.675531914893617,0.4921875,0.5380116959064327,0.41430473
XM_053337259.1,sample_3,190,384,200,774,0.5842105263157895,0.4921875,0.5,0.6177989
XM_045164603.1,gt,198,456,182,836,0.7222222222222222,0.5701754385964912,0.6263736263736264,0.96400684
XM_045164603.1,sample_0,79,456,200,735,0.7088607594936709,0.5701754385964912,0.62,1.2452298
XM_045164603.1,sample_1,204,456,200,860,0.8627450980392157,0.5701754385964912,0.535,0.08846928
XM_045164603.1,sample_2,234,456,200,890,0.7008547008547008,0.5701754385964912,0.345,1.0305392
XM_045164603.1,sample_3,187,456,200,843,0.786096256684492,0.5701754385964912,0.635,0.78857154
XM_048237338.1,gt,89,360,138,587,0.5617977528089888,0.5666666666666667,0.38405797101449274,1.1478928
XM_048237338.1,sample_0,124,360,147,631,0.5806451612903226,0.5666666666666667,0.3741496598639456,1.1693158
XM_048237338.1,sample_1,42,360,200,602,0.38095238095238093,0.5666666666666667,0.41,1.2085803
XM_048237338.1,sample_2,29,360,200,589,0.7586206896551724,0.5666666666666667,0.42,1.2142267
XM_048237338.1,sample_3,116,360,200,676,0.5258620689655172,0.5666666666666667,0.445,1.0231391
XM_074224206.1,gt,75,411,106,592,0.7333333333333333,0.5669099756690997,0.5283018867924528,0.9640024
XM_074224206.1,sample_0,186,411,128,725,0.3709677419354839,0.5669099756690997,0.5703125,1.0281904
XM_074224206.1,sample_1,38,411,103,552,0.42105263157894735,0.5669099756690997,0.5242718446601942,1.3262542
XM_074224206.1,sample_2,177,411,97,685,0.5254237288135594,0.5669099756690997,0.4329896907216495,1.0142088
XM_074224206.1,sample_3,98,411,103,612,0.5102040816326531,0.5669099756690997,0.5242718446601942,1.1796582
XM_005316726.5,gt,61,474,96,631,0.8032786885245902,0.5970464135021097,0.2708333333333333,0.70997685
XM_005316726.5,sample_0,64,474,139,677,0.921875,0.5970464135021097,0.31654676258992803,0.37200058
XM_005316726.5,sample_1,154,474,102,730,0.8831168831168831,0.5970464135021097,0.22549019607843138,0.28922993
XM_005316726.5,sample_2,85,474,112,671,0.8352941176470589,0.5970464135021097,0.26785714285714285,0.42601115
XM_005316726.5,sample_3,181,474,200,855,0.8121546961325967,0.5970464135021097,0.29,0.92385983
XM_039793870.1,gt,39,360,165,564,0.5641025641025641,0.5722222222222222,0.5393939393939394,1.0988821
XM_039793870.1,sample_0,231,360,200,791,0.7532467532467533,0.5722222222222222,0.51,0.9887074
XM_039793870.1,sample_1,145,360,200,705,0.5517241379310345,0.5722222222222222,0.54,0.83359814
XM_039793870.1,sample_2,160,360,200,720,0.3,0.5722222222222222,0.425,0.73730475
XM_039793870.1,sample_3,156,360,200,716,0.532051282051282,0.5722222222222222,0.66,0.69883794
XM_002819635.5,gt,91,492,94,677,0.7582417582417582,0.6077235772357723,0.43617021276595747,0.80055934
XM_002819635.5,sample_0,158,492,200,850,0.5506329113924051,0.6077235772357723,0.445,0.94116426
XM_002819635.5,sample_1,42,492,200,734,0.6904761904761905,0.6077235772357723,0.33,0.9645103
XM_002819635.5,sample_2,36,492,200,728,0.7222222222222222,0.6077235772357723,0.51,0.67888063
XM_002819635.5,sample_3,61,492,200,753,0.6721311475409836,0.6077235772357723,0.545,0.83222276
XM_006797961.2,gt,141,408,194,743,0.46808510638297873,0.46568627450980393,0.28350515463917525,1.2436316
XM_006797961.2,sample_0,123,408,200,731,0.4715447154471545,0.46568627450980393,0.295,1.2209439
XM_006797961.2,sample_1,183,408,200,791,0.5027322404371585,0.46568627450980393,0.33,1.4283881
XM_006797961.2,sample_2,175,408,200,783,0.4342857142857143,0.46568627450980393,0.33,1.3057053
