id,sample,utr5_length,cds_length,utr3_length,total_length,utr5_gc_content,cds_gc_content,utr3_gc_content,ribonn_te,utrlm_mrl,utrlm_te,utrlm_el,rnafold_mfe,rnafold_mfe_per_nt
NM_001009738.1,gt,92,444,182,718,0.5652173913043478,0.4324324324324324,0.3241758241758242,1.2912548,7.303940773010254,-0.7333282828330994,2.7766947746276855,-177.39999389648438,-0.2470752004129308
NM_001009738.1,sample_0,158,444,200,802,0.7025316455696202,0.4324324324324324,0.52,0.8492221,6.445491313934326,-0.4335156381130218,2.4894957542419434,-237.3000030517578,-0.2958852905882267
NM_001009738.1,sample_1,183,444,200,827,0.726775956284153,0.4324324324324324,0.305,0.74025226,6.558544158935547,-0.4078087210655212,2.859947443008423,-226.1000061035156,-0.273397830838592
NM_001009738.1,sample_2,189,444,200,833,0.8253968253968254,0.4324324324324324,0.47,0.36592266,5.3765363693237305,-0.5834726691246033,3.2722957134246826,-285.70001220703125,-0.3429772055306497
NM_001009738.1,sample_3,131,444,200,775,0.6564885496183206,0.4324324324324324,0.375,1.1733316,7.133194446563721,-0.3032870888710022,3.452118396759033,-199.6999969482422,-0.2576774154170867
NM_001009738.1,sample_4,136,444,200,780,0.6617647058823529,0.4324324324324324,0.385,1.0020927,6.367133140563965,-0.2824439704418182,3.305678606033325,-214.8000030517578,-0.2753846192971254
NM_001009738.1,sample_5,189,444,200,833,0.7724867724867724,0.4324324324324324,0.39,0.5765167,5.368668079376221,-0.3322832882404327,3.1648833751678467,-264.0,-0.3169267707082833
NM_001009738.1,sample_6,193,444,200,837,0.7150259067357513,0.4324324324324324,0.425,1.1042843,5.831988334655762,-0.1201726645231247,3.103726625442505,-242.1999969482422,-0.289366782494913
NM_001009738.1,sample_7,171,444,200,815,0.6842105263157895,0.4324324324324324,0.355,0.87482005,6.844445705413818,-0.5277351140975952,2.637296438217163,-214.8999938964844,-0.2636809741061158
NM_001037520.2,gt,36,240,57,333,0.6111111111111112,0.475,0.3859649122807017,1.6370162,3.508950471878052,-1.0223692655563354,2.282788038253784,-97.8000030517578,-0.2936937028581315
