id,sample,utr5_length,cds_length,utr3_length,total_length,utr5_gc_content,cds_gc_content,utr3_gc_content,ribonn_te,utrlm_mrl,utrlm_te,utrlm_el,rnafold_mfe,rnafold_mfe_per_nt
NM_001009738.1,gt,92,444,182,718,0.5652173913043478,0.4324324324324324,0.3241758241758242,1.2912548,7.303940773010254,-0.7333278059959412,2.7766947746276855,-177.39999389648438,-0.2470752004129308
NM_001009738.1,sample_0,9,444,0,453,0.4444444444444444,0.4324324324324324,0.0,1.480108,7.48665189743042,0.1529114246368408,3.5138792991638184,-110.0,-0.2428256070640176
NM_001009738.1,sample_1,12,444,0,456,0.5833333333333334,0.4324324324324324,0.0,1.4896907,7.768974304199219,-0.092528648674488,4.150533199310303,-111.5,-0.2445175438596491
NM_001009738.1,sample_2,3,444,0,447,0.6666666666666666,0.4324324324324324,0.0,1.4702173,7.292612075805664,0.0563649423420429,4.5616607666015625,-109.1999969482422,-0.2442952951862241
NM_001009738.1,sample_3,9,444,0,453,0.5555555555555556,0.4324324324324324,0.0,1.4848992,7.678433895111084,-0.0917776972055435,4.150592803955078,-110.0,-0.2428256070640176
NM_001009738.1,sample_4,3,444,0,447,0.6666666666666666,0.4324324324324324,0.0,1.4702173,7.292612075805664,0.0563649423420429,4.5616607666015625,-109.1999969482422,-0.2442952951862241
NM_001009738.1,sample_5,3,444,0,447,0.6666666666666666,0.4324324324324324,0.0,1.4702173,7.292612075805664,0.0563649423420429,4.5616607666015625,-109.1999969482422,-0.2442952951862241
NM_001009738.1,sample_6,12,444,0,456,0.5833333333333334,0.4324324324324324,0.0,1.4859539,7.472711563110352,-0.4197882115840912,3.9071223735809326,-114.9000015258789,-0.251973687556752
NM_001009738.1,sample_7,9,444,0,453,0.6666666666666666,0.4324324324324324,0.0,1.4853824,6.968506813049316,-0.1268815100193023,4.541539669036865,-111.3000030517578,-0.2456953709751828
NM_001037520.2,gt,36,240,57,333,0.6111111111111112,0.475,0.3859649122807017,1.6370162,3.508950710296631,-1.0223681926727295,2.2827885150909424,-97.8000030517578,-0.2936937028581315
NM_001037520.2,sample_0,75,240,0,315,0.16,0.475,0.0,1.6230359,7.0832695960998535,-1.2805168628692627,2.815931797027588,-79.4000015258789,-0.2520634969075521
NM_001037520.2,sample_1,66,240,0,306,0.2424242424242424,0.475,0.0,1.6730683,7.666801452636719,0.006697547622025,3.571403980255127,-81.69999694824219,-0.2669934540792228
NM_001037520.2,sample_2,216,240,0,456,0.2453703703703703,0.475,0.0,1.5657643,5.9964213371276855,-1.2344974279403689,2.9789891242980957,-97.5,-0.2138157894736842
NM_001037520.2,sample_3,54,240,3,297,0.1851851851851851,0.475,0.3333333333333333,1.6502606,5.143918991088867,-1.2632194757461548,3.0573248863220215,-78.9000015258789,-0.265656570794205
NM_001037520.2,sample_4,405,240,0,645,0.0345679012345679,0.475,0.0,1.0774441,7.289258480072021,-1.1755945682525637,3.0823371410369873,-77.69999694824219,-0.1204651115476623
NM_001037520.2,sample_5,3,240,0,243,0.6666666666666666,0.475,0.0,1.6537763,5.850782871246338,-0.5339854955673218,3.0849366188049316,-70.5,-0.2901234567901234
NM_001037520.2,sample_6,3,240,0,243,0.6666666666666666,0.475,0.0,1.660185,7.40803337097168,-0.4291137754917145,3.551783800125122,-71.0,-0.2921810699588477
NM_001037520.2,sample_7,405,240,0,645,0.0395061728395061,0.475,0.0,1.0864015,7.24979305267334,-1.0551680326461792,3.198734760284424,-73.0999984741211,-0.1133333309676296
NM_001100620.3,gt,100,435,136,671,0.56,0.5770114942528736,0.4117647058823529,0.6919832,5.982230186462402,-0.2957468628883362,2.9772610664367676,-230.6000061035156,-0.3436661789918265
NM_001100620.3,sample_0,6,435,0,441,0.5,0.5770114942528736,0.0,0.9902777,7.862490653991699,0.0354635864496231,4.142536163330078,-147.89999389648438,-0.3353741358196924
NM_001100620.3,sample_1,3,435,0,438,0.3333333333333333,0.5770114942528736,0.0,0.9479761,7.802729606628418,-0.5129067301750183,3.095410108566284,-145.89999389648438,-0.333105008896083
NM_001100620.3,sample_2,3,435,0,438,0.3333333333333333,0.5770114942528736,0.0,0.9479761,7.802729606628418,-0.5129067301750183,3.095410108566284,-145.89999389648438,-0.333105008896083
NM_001100620.3,sample_3,3,435,0,438,0.3333333333333333,0.5770114942528736,0.0,0.9479761,7.802729606628418,-0.5129067301750183,3.095410108566284,-145.89999389648438,-0.333105008896083
NM_001100620.3,sample_4,6,435,0,441,0.5,0.5770114942528736,0.0,0.9902777,7.862490653991699,0.0354637317359447,4.14253568649292,-147.89999389648438,-0.3353741358196924
NM_001100620.3,sample_5,3,435,0,438,0.3333333333333333,0.5770114942528736,0.0,0.9479761,7.80272912979126,-0.5129067897796631,3.0954105854034424,-145.89999389648438,-0.333105008896083
NM_001100620.3,sample_6,3,435,0,438,0.3333333333333333,0.5770114942528736,0.0,0.9479761,7.80272912979126,-0.5129067897796631,3.0954105854034424,-145.89999389648438,-0.333105008896083
NM_001100620.3,sample_7,3,435,0,438,0.3333333333333333,0.5770114942528736,0.0,0.9479761,7.80272912979126,-0.5129067897796631,3.0954105854034424,-145.89999389648438,-0.333105008896083
NM_001172956.1,gt,109,279,144,532,0.4495412844036697,0.5053763440860215,0.2986111111111111,1.2370607,6.0589118003845215,-0.7411043643951416,2.780930757522583,-148.89999389648438,-0.279887206572339
NM_001172956.1,sample_0,36,279,0,315,0.5277777777777778,0.5053763440860215,0.0,1.5794425,8.022351264953613,-0.2892433404922485,3.5843772888183594,-98.3000030517578,-0.3120635017516121
NM_001172956.1,sample_1,54,279,0,333,0.4444444444444444,0.5053763440860215,0.0,1.5877473,7.855046272277832,-0.3477891087532043,3.686950206756592,-100.5999984741211,-0.3021020975198831
NM_001172956.1,sample_2,30,279,6,315,0.4,0.5053763440860215,0.5,1.5882277,5.611264705657959,-1.055667281150818,2.938047170639038,-95.8000030517578,-0.3041269938151041
NM_001172956.1,sample_3,30,279,6,315,0.3666666666666666,0.5053763440860215,0.6666666666666666,1.5760975,5.56442403793335,-1.1108911037445068,3.3272488117218018,-92.5,-0.2936507936507936
NM_001172956.1,sample_4,27,279,27,333,0.3703703703703703,0.5053763440860215,0.5185185185185185,1.6079715,8.326852798461914,-0.030802022665739,3.4425830841064453,-100.5999984741211,-0.3021020975198831
