id,sample,utr5_length,cds_length,utr3_length,total_length,utr5_gc_content,cds_gc_content,utr3_gc_content,ribonn_te
XM_071419765.1,gt,15,372,48,435,0.6666666666666666,0.6612903225806451,0.14583333333333334,0.9884705
XM_071419765.1,sample_0,330,372,0,702,0.6727272727272727,0.6612903225806451,0.0,1.0652896
XM_071419765.1,sample_1,135,372,123,630,0.6888888888888889,0.6612903225806451,0.5853658536585366,1.2013863
XM_071419765.1,sample_2,258,372,0,630,0.627906976744186,0.6612903225806451,0.0,1.1507479
XM_071419765.1,sample_3,21,372,240,633,0.7142857142857143,0.6612903225806451,0.65,0.8134394
XM_032170900.2,gt,198,459,157,814,0.7222222222222222,0.46405228758169936,0.3821656050955414,0.99038696
XM_032170900.2,sample_0,303,459,0,762,0.45874587458745875,0.46405228758169936,0.0,1.0476574
XM_032170900.2,sample_1,78,459,177,714,0.41025641025641024,0.46405228758169936,0.3898305084745763,1.1288149
XM_032170900.2,sample_2,399,459,0,858,0.48872180451127817,0.46405228758169936,0.0,1.1202646
XM_032170900.2,sample_3,117,459,141,717,0.4444444444444444,0.46405228758169936,0.3404255319148936,1.281626
XM_042933589.1,gt,74,255,108,437,0.5,0.49411764705882355,0.4722222222222222,1.5648752
XM_042933589.1,sample_0,234,255,0,489,0.47863247863247865,0.49411764705882355,0.0,1.6097088
XM_042933589.1,sample_1,21,255,276,552,0.38095238095238093,0.49411764705882355,0.4057971014492754,1.5866594
XM_042933589.1,sample_2,69,255,93,417,0.36231884057971014,0.49411764705882355,0.34408602150537637,1.6062047
XM_042933589.1,sample_3,273,255,0,528,0.40293040293040294,0.49411764705882355,0.0,1.4580677
XM_056452708.1,gt,24,366,131,521,0.20833333333333334,0.5765027322404371,0.26717557251908397,1.6820925
XM_056452708.1,sample_0,18,366,228,612,0.4444444444444444,0.5765027322404371,0.4517543859649123,1.6946237
XM_056452708.1,sample_1,99,366,204,669,0.5656565656565656,0.5765027322404371,0.4852941176470588,1.701758
XM_056452708.1,sample_2,9,366,291,666,0.3333333333333333,0.5765027322404371,0.39862542955326463,1.6852996
XM_056452708.1,sample_3,66,366,192,624,0.6363636363636364,0.5765027322404371,0.390625,1.6868454
XM_071453288.1,gt,143,321,148,612,0.7972027972027972,0.660436137071651,0.5472972972972973,0.79151887
XM_071453288.1,sample_0,183,321,0,504,0.6010928961748634,0.660436137071651,0.0,1.3604147
XM_071453288.1,sample_1,336,321,0,657,0.6220238095238095,0.660436137071651,0.0,1.1376193
XM_071453288.1,sample_2,66,321,321,708,0.7727272727272727,0.660436137071651,0.6635514018691588,0.9798261
XM_071453288.1,sample_3,354,321,0,675,0.6497175141242938,0.660436137071651,0.0,1.3735031
XM_048522006.2,gt,43,273,135,451,0.5813953488372093,0.4908424908424908,0.3851851851851852,1.6898773
XM_048522006.2,sample_0,216,273,0,489,0.5324074074074074,0.4908424908424908,0.0,1.6892637
XM_048522006.2,sample_1,54,273,165,492,0.5185185185185185,0.4908424908424908,0.44242424242424244,1.7025253
XM_048522006.2,sample_2,51,273,132,456,0.5882352941176471,0.4908424908424908,0.3712121212121212,1.6963798
XM_048522006.2,sample_3,51,273,171,495,0.47058823529411764,0.4908424908424908,0.3742690058479532,1.7108972
XM_044245083.1,gt,95,291,159,545,0.5789473684210527,0.42955326460481097,0.25157232704402516,1.5015202
XM_044245083.1,sample_0,51,291,120,462,0.5294117647058824,0.42955326460481097,0.275,1.6197398
XM_044245083.1,sample_1,75,291,123,489,0.4266666666666667,0.42955326460481097,0.3983739837398374,1.5801094
XM_044245083.1,sample_2,15,291,195,501,0.3333333333333333,0.42955326460481097,0.4205128205128205,1.6212915
XM_044245083.1,sample_3,189,291,0,480,0.3544973544973545,0.42955326460481097,0.0,1.5094475
XM_025986549.2,gt,67,462,83,612,0.5522388059701493,0.3874458874458874,0.3373493975903614,1.0585759
XM_025986549.2,sample_0,57,462,192,711,0.43859649122807015,0.3874458874458874,0.40625,1.1473852
XM_025986549.2,sample_1,60,462,195,717,0.5,0.3874458874458874,0.4153846153846154,1.0501153
XM_025986549.2,sample_2,114,462,144,720,0.30701754385964913,0.3874458874458874,0.3611111111111111,1.0213294
XM_025986549.2,sample_3,18,462,342,822,0.6111111111111112,0.3874458874458874,0.39473684210526316,0.99749607
XM_040683648.2,gt,61,372,106,539,0.8524590163934426,0.6693548387096774,0.4056603773584906,0.68134594
XM_040683648.2,sample_0,270,372,0,642,0.6111111111111112,0.6693548387096774,0.0,1.2179506
XM_040683648.2,sample_1,387,372,0,759,0.661498708010336,0.6693548387096774,0.0,1.0299782
XM_040683648.2,sample_2,261,372,0,633,0.6283524904214559,0.6693548387096774,0.0,1.0917486
XM_040683648.2,sample_3,126,372,264,762,0.6904761904761905,0.6693548387096774,0.5909090909090909,0.86138624
XM_048080352.2,gt,155,438,43,636,0.7548387096774194,0.5045662100456622,0.2558139534883721,1.5197175
XM_048080352.2,sample_0,81,438,279,798,0.5925925925925926,0.5045662100456622,0.4767025089605735,1.5367839
XM_048080352.2,sample_1,234,438,0,672,0.5170940170940171,0.5045662100456622,0.0,1.5614718
XM_048080352.2,sample_2,21,438,231,690,0.5714285714285714,0.5045662100456622,0.5497835497835498,1.5650005
XM_048080352.2,sample_3,9,438,198,645,0.2222222222222222,0.5045662100456622,0.4595959595959596,1.5932401
XM_053337259.1,gt,65,384,135,584,0.47692307692307695,0.4921875,0.45925925925925926,0.9857438
