id,sample,utr5_length,cds_length,utr3_length,total_length,utr5_gc_content,cds_gc_content,utr3_gc_content,ribonn_te
XM_071419765.1,gt,15,372,48,435,0.6666666666666666,0.6612903225806451,0.14583333333333334,0.9884705
XM_071419765.1,sample_0,168,372,231,771,0.6607142857142857,0.6612903225806451,0.4805194805194805,1.0677918
XM_071419765.1,sample_1,249,372,153,774,0.5863453815261044,0.6612903225806451,0.43790849673202614,1.1678166
XM_071419765.1,sample_2,84,372,126,582,0.5595238095238095,0.6612903225806451,0.40476190476190477,0.96937346
XM_071419765.1,sample_3,264,372,135,771,0.6553030303030303,0.6612903225806451,0.5111111111111111,1.1550003
XM_032170900.2,gt,198,459,157,814,0.7222222222222222,0.46405228758169936,0.3821656050955414,0.99038696
XM_032170900.2,sample_0,405,459,0,864,0.5950617283950618,0.46405228758169936,0.0,1.3618469
XM_032170900.2,sample_1,405,459,0,864,0.5654320987654321,0.46405228758169936,0.0,1.3688245
XM_032170900.2,sample_2,405,459,0,864,0.5530864197530864,0.46405228758169936,0.0,1.3627464
XM_032170900.2,sample_3,405,459,0,864,0.5061728395061729,0.46405228758169936,0.0,1.3053733
XM_042933589.1,gt,74,255,108,437,0.5,0.49411764705882355,0.4722222222222222,1.5648752
XM_042933589.1,sample_0,405,255,0,660,0.6296296296296297,0.49411764705882355,0.0,1.620101
XM_042933589.1,sample_1,405,255,0,660,0.6197530864197531,0.49411764705882355,0.0,1.6194725
XM_042933589.1,sample_2,318,255,84,657,0.6446540880503144,0.49411764705882355,0.6428571428571429,1.6133612
XM_042933589.1,sample_3,405,255,0,660,0.6345679012345679,0.49411764705882355,0.0,1.6172415
XM_056452708.1,gt,24,366,131,521,0.20833333333333334,0.5765027322404371,0.26717557251908397,1.6820925
XM_056452708.1,sample_0,201,366,201,768,0.6417910447761194,0.5765027322404371,0.6318407960199005,1.6686405
XM_056452708.1,sample_1,225,366,171,762,0.6266666666666667,0.5765027322404371,0.6198830409356725,1.6808283
XM_056452708.1,sample_2,405,366,0,771,0.6024691358024692,0.5765027322404371,0.0,1.6801337
XM_056452708.1,sample_3,222,366,180,768,0.6171171171171171,0.5765027322404371,0.5888888888888889,1.6839346
XM_071453288.1,gt,143,321,148,612,0.7972027972027972,0.660436137071651,0.5472972972972973,0.79151887
XM_071453288.1,sample_0,150,321,249,720,0.4066666666666667,0.660436137071651,0.4457831325301205,1.1820093
XM_071453288.1,sample_1,405,321,0,726,0.3851851851851852,0.660436137071651,0.0,1.2321545
XM_071453288.1,sample_2,51,321,351,723,0.6470588235294118,0.660436137071651,0.5270655270655271,1.219065
XM_071453288.1,sample_3,405,321,0,726,0.5703703703703704,0.660436137071651,0.0,1.3912003
XM_048522006.2,gt,43,273,135,451,0.5813953488372093,0.4908424908424908,0.3851851851851852,1.6898773
XM_048522006.2,sample_0,405,273,0,678,0.6024691358024692,0.4908424908424908,0.0,1.6738694
XM_048522006.2,sample_1,405,273,0,678,0.5703703703703704,0.4908424908424908,0.0,1.5577717
XM_048522006.2,sample_2,387,273,15,675,0.6304909560723514,0.4908424908424908,0.6,1.677355
XM_048522006.2,sample_3,405,273,0,678,0.6024691358024692,0.4908424908424908,0.0,1.6715951
XM_044245083.1,gt,95,291,159,545,0.5789473684210527,0.42955326460481097,0.25157232704402516,1.5015202
XM_044245083.1,sample_0,405,291,0,696,0.2,0.42955326460481097,0.0,1.0650223
XM_044245083.1,sample_1,339,291,60,690,0.528023598820059,0.42955326460481097,0.45,1.6610761
XM_044245083.1,sample_2,378,291,24,693,0.4708994708994709,0.42955326460481097,0.375,1.5787888
XM_044245083.1,sample_3,405,291,0,696,0.1506172839506173,0.42955326460481097,0.0,1.030027
