id,sample,utr5_length,cds_length,utr3_length,total_length,utr5_gc_content,cds_gc_content,utr3_gc_content,ribonn_te
XM_071419765.1,gt,15,372,48,435,0.6666666666666666,0.6612903225806451,0.14583333333333334,0.9885078
XM_071419765.1,sample_0,125,372,200,697,0.752,0.6612903225806451,0.675,0.49750367
XM_071419765.1,sample_1,61,372,117,550,0.7377049180327869,0.6612903225806451,0.5555555555555556,0.75557786
XM_071419765.1,sample_2,45,372,192,609,0.6444444444444445,0.6612903225806451,0.6927083333333334,0.9732779
XM_071419765.1,sample_3,203,372,96,671,0.7733990147783252,0.6612903225806451,0.6458333333333334,0.21308929
XM_032170900.2,gt,198,459,157,814,0.7222222222222222,0.46405228758169936,0.3821656050955414,0.99040943
XM_032170900.2,sample_0,66,459,154,679,0.6666666666666666,0.46405228758169936,0.37662337662337664,1.2759892
XM_032170900.2,sample_1,55,459,200,714,0.6545454545454545,0.46405228758169936,0.38,1.2531897
XM_032170900.2,sample_2,101,459,200,760,0.6039603960396039,0.46405228758169936,0.39,1.1812093
XM_032170900.2,sample_3,145,459,162,766,0.696551724137931,0.46405228758169936,0.35185185185185186,1.0599635
XM_042933589.1,gt,74,255,108,437,0.5,0.49411764705882355,0.4722222222222222,1.5649009
XM_042933589.1,sample_0,135,255,200,590,0.3111111111111111,0.49411764705882355,0.385,1.5336125
XM_042933589.1,sample_1,188,255,200,643,0.3776595744680851,0.49411764705882355,0.31,1.4939469
XM_042933589.1,sample_2,177,255,85,517,0.5988700564971752,0.49411764705882355,0.49411764705882355,1.3037665
XM_042933589.1,sample_3,174,255,200,629,0.4425287356321839,0.49411764705882355,0.445,1.3970039
XM_056452708.1,gt,24,366,131,521,0.20833333333333334,0.5765027322404371,0.26717557251908397,1.6821011
XM_056452708.1,sample_0,117,366,200,683,0.5042735042735043,0.5765027322404371,0.33,1.629122
XM_056452708.1,sample_1,185,366,17,568,0.4648648648648649,0.5765027322404371,0.47058823529411764,1.6762066
XM_056452708.1,sample_2,82,366,92,540,0.43902439024390244,0.5765027322404371,0.42391304347826086,1.6940954
