id,sample,utr5_length,cds_length,utr3_length,total_length,utr5_gc_content,cds_gc_content,utr3_gc_content,ribonn_te
XM_071419765.1,gt,15,372,48,435,0.6666666666666666,0.6612903225806451,0.14583333333333334,0.9884705
XM_071419765.1,sample_0,3,372,0,375,1.0,0.6612903225806451,0.0,0.9506028
XM_071419765.1,sample_1,6,372,45,423,0.8333333333333334,0.6612903225806451,0.5777777777777777,1.0979136
XM_071419765.1,sample_2,24,372,96,492,0.7916666666666666,0.6612903225806451,0.4375,1.1186886
XM_071419765.1,sample_3,3,372,66,441,0.6666666666666666,0.6612903225806451,0.36363636363636365,0.8803393
XM_032170900.2,gt,198,459,157,814,0.7222222222222222,0.46405228758169936,0.3821656050955414,0.99038696
XM_032170900.2,sample_0,123,459,0,582,0.3008130081300813,0.46405228758169936,0.0,1.1018395
XM_032170900.2,sample_1,27,459,0,486,0.48148148148148145,0.46405228758169936,0.0,1.2749863
XM_032170900.2,sample_2,3,459,0,462,0.3333333333333333,0.46405228758169936,0.0,1.2930493
XM_032170900.2,sample_3,54,459,0,513,0.3888888888888889,0.46405228758169936,0.0,1.3081099
XM_042933589.1,gt,74,255,108,437,0.5,0.49411764705882355,0.4722222222222222,1.5648752
XM_042933589.1,sample_0,3,255,0,258,0.3333333333333333,0.49411764705882355,0.0,1.6078882
XM_042933589.1,sample_1,54,255,0,309,0.5,0.49411764705882355,0.0,1.6369792
XM_042933589.1,sample_2,54,255,0,309,0.48148148148148145,0.49411764705882355,0.0,1.6317734
XM_042933589.1,sample_3,72,255,0,327,0.375,0.49411764705882355,0.0,1.6373404
XM_056452708.1,gt,24,366,131,521,0.20833333333333334,0.5765027322404371,0.26717557251908397,1.6820925
XM_056452708.1,sample_0,6,366,0,372,0.5,0.5765027322404371,0.0,1.6746744
XM_056452708.1,sample_1,9,366,0,375,0.4444444444444444,0.5765027322404371,0.0,1.6753681
XM_056452708.1,sample_2,6,366,0,372,0.5,0.5765027322404371,0.0,1.6746744
XM_056452708.1,sample_3,6,366,0,372,0.5,0.5765027322404371,0.0,1.6744906
XM_071453288.1,gt,143,321,148,612,0.7972027972027972,0.660436137071651,0.5472972972972973,0.79151887
XM_071453288.1,sample_0,12,321,93,426,0.5833333333333334,0.660436137071651,0.3870967741935484,1.1616431
XM_071453288.1,sample_1,9,321,93,423,0.5555555555555556,0.660436137071651,0.2903225806451613,1.2016063
XM_071453288.1,sample_2,15,321,381,717,0.3333333333333333,0.660436137071651,0.1889763779527559,0.95122176
XM_071453288.1,sample_3,3,321,0,324,0.6666666666666666,0.660436137071651,0.0,1.3262653
XM_048522006.2,gt,43,273,135,451,0.5813953488372093,0.4908424908424908,0.3851851851851852,1.6898773
XM_048522006.2,sample_0,39,273,21,333,0.5384615384615384,0.4908424908424908,0.7142857142857143,1.6730765
XM_048522006.2,sample_1,51,273,9,333,0.6274509803921569,0.4908424908424908,0.7777777777777778,1.6380498
XM_048522006.2,sample_2,60,273,0,333,0.6166666666666667,0.4908424908424908,0.0,1.6412385
XM_048522006.2,sample_3,57,273,21,351,0.45614035087719296,0.4908424908424908,0.5238095238095238,1.6842759
XM_044245083.1,gt,95,291,159,545,0.5789473684210527,0.42955326460481097,0.25157232704402516,1.5015202
XM_044245083.1,sample_0,39,291,0,330,0.5128205128205128,0.42955326460481097,0.0,1.5843753
XM_044245083.1,sample_1,66,291,0,357,0.4393939393939394,0.42955326460481097,0.0,1.5870736
XM_044245083.1,sample_2,27,291,0,318,0.5185185185185185,0.42955326460481097,0.0,1.5795417
XM_044245083.1,sample_3,30,291,0,321,0.5333333333333333,0.42955326460481097,0.0,1.580741
XM_025986549.2,gt,67,462,83,612,0.5522388059701493,0.3874458874458874,0.3373493975903614,1.0585759
XM_025986549.2,sample_0,12,462,0,474,0.5,0.3874458874458874,0.0,1.2027897
XM_025986549.2,sample_1,12,462,0,474,0.5,0.3874458874458874,0.0,1.1901664
XM_025986549.2,sample_2,9,462,0,471,0.5555555555555556,0.3874458874458874,0.0,1.1895484
XM_025986549.2,sample_3,6,462,0,468,0.3333333333333333,0.3874458874458874,0.0,1.1893156
XM_040683648.2,gt,61,372,106,539,0.8524590163934426,0.6693548387096774,0.4056603773584906,0.68134594
XM_040683648.2,sample_0,3,372,0,375,0.6666666666666666,0.6693548387096774,0.0,1.0730087
XM_040683648.2,sample_1,3,372,0,375,0.6666666666666666,0.6693548387096774,0.0,1.0653781
XM_040683648.2,sample_2,3,372,0,375,0.6666666666666666,0.6693548387096774,0.0,1.0653781
XM_040683648.2,sample_3,3,372,0,375,0.6666666666666666,0.6693548387096774,0.0,1.0824053
XM_048080352.2,gt,155,438,43,636,0.7548387096774194,0.5045662100456622,0.2558139534883721,1.5197175
XM_048080352.2,sample_0,9,438,0,447,0.5555555555555556,0.5045662100456622,0.0,1.6009374
XM_048080352.2,sample_1,9,438,0,447,0.6666666666666666,0.5045662100456622,0.0,1.6028621
XM_048080352.2,sample_2,9,438,0,447,0.5555555555555556,0.5045662100456622,0.0,1.6009374
XM_048080352.2,sample_3,9,438,0,447,0.6666666666666666,0.5045662100456622,0.0,1.6028621
XM_053337259.1,gt,65,384,135,584,0.47692307692307695,0.4921875,0.45925925925925926,0.9857438
XM_053337259.1,sample_0,36,384,0,420,0.2777777777777778,0.4921875,0.0,1.1092465
XM_053337259.1,sample_1,21,384,15,420,0.38095238095238093,0.4921875,0.4,1.2006986
XM_053337259.1,sample_2,27,384,0,411,0.18518518518518517,0.4921875,0.0,1.125589
XM_053337259.1,sample_3,15,384,0,399,0.4,0.4921875,0.0,1.1144829
XM_045164603.1,gt,198,456,182,836,0.7222222222222222,0.5701754385964912,0.6263736263736264,0.9639902
XM_045164603.1,sample_0,12,456,0,468,0.5,0.5701754385964912,0.0,1.455404
XM_045164603.1,sample_1,3,456,0,459,0.6666666666666666,0.5701754385964912,0.0,1.4498174
XM_045164603.1,sample_2,3,456,0,459,0.6666666666666666,0.5701754385964912,0.0,1.4498174
XM_045164603.1,sample_3,3,456,0,459,0.6666666666666666,0.5701754385964912,0.0,1.4498174
XM_048237338.1,gt,89,360,138,587,0.5617977528089888,0.5666666666666667,0.38405797101449274,1.1478605
XM_048237338.1,sample_0,6,360,3,369,0.5,0.5666666666666667,0.6666666666666666,1.3282
XM_048237338.1,sample_1,9,360,0,369,0.4444444444444444,0.5666666666666667,0.0,1.3173342
XM_048237338.1,sample_2,9,360,0,369,0.4444444444444444,0.5666666666666667,0.0,1.3173342
XM_048237338.1,sample_3,6,360,3,369,0.16666666666666666,0.5666666666666667,0.6666666666666666,1.3060409
XM_074224206.1,gt,75,411,106,592,0.7333333333333333,0.5669099756690997,0.5283018867924528,0.96398175
XM_074224206.1,sample_0,66,411,12,489,0.5606060606060606,0.5669099756690997,0.5833333333333334,1.4008638
XM_074224206.1,sample_1,48,411,0,459,0.5208333333333334,0.5669099756690997,0.0,1.3610595
XM_074224206.1,sample_2,15,411,0,426,0.4,0.5669099756690997,0.0,1.3286631
XM_074224206.1,sample_3,6,411,0,417,0.3333333333333333,0.5669099756690997,0.0,1.3177743
XM_005316726.5,gt,61,474,96,631,0.8032786885245902,0.5970464135021097,0.2708333333333333,0.70993745
XM_005316726.5,sample_0,78,474,0,552,0.3974358974358974,0.5970464135021097,0.0,1.1432164
XM_005316726.5,sample_1,3,474,0,477,0.3333333333333333,0.5970464135021097,0.0,0.95130295
XM_005316726.5,sample_2,90,474,0,564,0.34444444444444444,0.5970464135021097,0.0,1.1794806
XM_005316726.5,sample_3,90,474,0,564,0.3111111111111111,0.5970464135021097,0.0,1.0763285
XM_039793870.1,gt,39,360,165,564,0.5641025641025641,0.5722222222222222,0.5393939393939394,1.0988376
XM_039793870.1,sample_0,9,360,0,369,0.4444444444444444,0.5722222222222222,0.0,1.3639836
XM_039793870.1,sample_1,3,360,0,363,0.3333333333333333,0.5722222222222222,0.0,1.3543725
XM_039793870.1,sample_2,9,360,0,369,0.3333333333333333,0.5722222222222222,0.0,1.3687254
XM_039793870.1,sample_3,9,360,0,369,0.4444444444444444,0.5722222222222222,0.0,1.3553151
XM_002819635.5,gt,91,492,94,677,0.7582417582417582,0.6077235772357723,0.43617021276595747,0.8005268
XM_002819635.5,sample_0,6,492,12,510,0.6666666666666666,0.6077235772357723,0.3333333333333333,1.2234368
XM_002819635.5,sample_1,15,492,0,507,0.4666666666666667,0.6077235772357723,0.0,1.2790089
XM_002819635.5,sample_2,6,492,12,510,0.6666666666666666,0.6077235772357723,0.3333333333333333,1.2098185
XM_002819635.5,sample_3,6,492,15,513,0.6666666666666666,0.6077235772357723,0.3333333333333333,1.1909418
XM_006797961.2,gt,141,408,194,743,0.46808510638297873,0.46568627450980393,0.28350515463917525,1.2436334
XM_006797961.2,sample_0,21,408,0,429,0.47619047619047616,0.46568627450980393,0.0,1.6415441
XM_006797961.2,sample_1,15,408,0,423,0.4,0.46568627450980393,0.0,1.6342998
XM_006797961.2,sample_2,21,408,0,429,0.5238095238095238,0.46568627450980393,0.0,1.6459726
XM_006797961.2,sample_3,15,408,0,423,0.4,0.46568627450980393,0.0,1.6404041
XM_059681587.1,gt,150,432,117,699,0.76,0.5856481481481481,0.5299145299145299,1.4112593
XM_059681587.1,sample_0,21,432,0,453,0.38095238095238093,0.5856481481481481,0.0,1.4710251
XM_059681587.1,sample_1,18,432,0,450,0.5,0.5856481481481481,0.0,1.4693952
XM_059681587.1,sample_2,12,432,0,444,0.5833333333333334,0.5856481481481481,0.0,1.4619241
XM_059681587.1,sample_3,9,432,0,441,0.3333333333333333,0.5856481481481481,0.0,1.469089
XM_041264348.1,gt,78,174,192,444,0.4230769230769231,0.4367816091954023,0.3385416666666667,1.6921176
XM_041264348.1,sample_0,3,174,0,177,0.3333333333333333,0.4367816091954023,0.0,1.6751226
XM_041264348.1,sample_1,9,174,0,183,0.5555555555555556,0.4367816091954023,0.0,1.675958
XM_041264348.1,sample_2,6,174,0,180,0.5,0.4367816091954023,0.0,1.6756936
XM_041264348.1,sample_3,3,174,0,177,0.3333333333333333,0.4367816091954023,0.0,1.6751226
XM_048516291.1,gt,175,189,142,506,0.6114285714285714,0.5132275132275133,0.4014084507042254,1.6663615
XM_048516291.1,sample_0,33,189,0,222,0.5454545454545454,0.5132275132275133,0.0,1.6524026
XM_048516291.1,sample_1,405,189,0,594,0.6567901234567901,0.5132275132275133,0.0,1.6737454
XM_048516291.1,sample_2,36,189,0,225,0.6111111111111112,0.5132275132275133,0.0,1.6504505
XM_048516291.1,sample_3,36,189,0,225,0.5277777777777778,0.5132275132275133,0.0,1.649165
XM_044947178.2,gt,164,480,92,736,0.7073170731707317,0.5166666666666667,0.358695652173913,0.47048667
XM_044947178.2,sample_0,42,480,0,522,0.2619047619047619,0.5166666666666667,0.0,0.89149296
XM_044947178.2,sample_1,24,480,0,504,0.5416666666666666,0.5166666666666667,0.0,0.9848741
XM_044947178.2,sample_2,45,480,30,555,0.28888888888888886,0.5166666666666667,0.3,0.9765109
XM_044947178.2,sample_3,33,480,0,513,0.45454545454545453,0.5166666666666667,0.0,1.061517
XM_004757439.3,gt,15,300,146,461,0.5333333333333333,0.5066666666666667,0.4794520547945205,1.6668824
XM_004757439.3,sample_0,30,300,0,330,0.4666666666666667,0.5066666666666667,0.0,1.658835
XM_004757439.3,sample_1,273,300,111,684,0.1794871794871795,0.5066666666666667,0.17117117117117117,1.4518784
XM_004757439.3,sample_2,48,300,0,348,0.3958333333333333,0.5066666666666667,0.0,1.6330421
XM_004757439.3,sample_3,33,300,21,354,0.48484848484848486,0.5066666666666667,0.42857142857142855,1.6477392
XM_077492752.1,gt,22,378,61,461,0.5,0.4708994708994709,0.14754098360655737,1.6596408
XM_077492752.1,sample_0,3,378,66,447,0.3333333333333333,0.4708994708994709,0.3484848484848485,1.6770657
XM_077492752.1,sample_1,12,378,66,456,0.5,0.4708994708994709,0.3484848484848485,1.676998
XM_077492752.1,sample_2,9,378,0,387,0.4444444444444444,0.4708994708994709,0.0,1.6625986
XM_077492752.1,sample_3,3,378,54,435,1.0,0.4708994708994709,0.4074074074074074,1.6754678
XM_024749089.1,gt,85,240,116,441,0.6352941176470588,0.5333333333333333,0.47413793103448276,1.6789408
XM_024749089.1,sample_0,405,240,0,645,0.3135802469135803,0.5333333333333333,0.0,1.674115
XM_024749089.1,sample_1,405,240,0,645,0.3950617283950617,0.5333333333333333,0.0,1.635993
XM_024749089.1,sample_2,6,240,0,246,0.8333333333333334,0.5333333333333333,0.0,1.6334082
XM_024749089.1,sample_3,405,240,0,645,0.3654320987654321,0.5333333333333333,0.0,1.676586
XM_026780772.1,gt,65,210,132,407,0.6461538461538462,0.5190476190476191,0.49242424242424243,1.519835
XM_026780772.1,sample_0,12,210,0,222,0.4166666666666667,0.5190476190476191,0.0,1.6614466
XM_026780772.1,sample_1,15,210,0,225,0.2,0.5190476190476191,0.0,1.6665384
XM_026780772.1,sample_2,12,210,0,222,0.4166666666666667,0.5190476190476191,0.0,1.6614466
XM_026780772.1,sample_3,12,210,0,222,0.4166666666666667,0.5190476190476191,0.0,1.6614466
XM_048252873.1,gt,47,210,106,363,0.5957446808510638,0.5285714285714286,0.42452830188679247,1.6689627
XM_048252873.1,sample_0,57,210,0,267,0.543859649122807,0.5285714285714286,0.0,1.6285864
XM_048252873.1,sample_1,15,210,0,225,0.4,0.5285714285714286,0.0,1.6459283
XM_048252873.1,sample_2,54,210,0,264,0.5185185185185185,0.5285714285714286,0.0,1.623818
XM_048252873.1,sample_3,42,210,0,252,0.5238095238095238,0.5285714285714286,0.0,1.6553135
XM_005877138.2,gt,105,240,127,472,0.4857142857142857,0.45416666666666666,0.33858267716535434,1.5154049
XM_005877138.2,sample_0,27,240,15,282,0.7037037037037037,0.45416666666666666,0.3333333333333333,1.6214472
XM_005877138.2,sample_1,3,240,0,243,0.6666666666666666,0.45416666666666666,0.0,1.5812335
XM_005877138.2,sample_2,30,240,27,297,0.6333333333333333,0.45416666666666666,0.48148148148148145,1.635501
XM_005877138.2,sample_3,405,240,0,645,0.36049382716049383,0.45416666666666666,0.0,1.6292967
XM_031611794.1,gt,99,408,102,609,0.5858585858585859,0.6470588235294118,0.6372549019607843,1.2647187
XM_031611794.1,sample_0,9,408,0,417,0.5555555555555556,0.6470588235294118,0.0,1.2121582
XM_031611794.1,sample_1,12,408,0,420,0.25,0.6470588235294118,0.0,1.2281975
